Rank,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16,X360,2010.0,Misc,14.97,4.94,0.24,1.67,21.82
32,X360,2010.0,Shooter,9.67,3.73,0.11,1.13,14.64
24,X360,2013.0,Action,9.63,5.31,0.06,1.38,16.38
18,PS2,2004.0,Action,9.43,0.4,0.41,10.57,20.81
30,X360,2011.0,Shooter,9.03,4.28,0.13,1.32,14.76
37,X360,2009.0,Shooter,8.52,3.63,0.08,1.29,13.51
25,PS2,2002.0,Action,8.41,5.49,0.47,1.78,16.15
36,X360,2012.0,Shooter,8.25,4.3,0.07,1.12,13.73
44,X360,2007.0,Shooter,7.97,2.83,0.13,1.21,12.14
63,X360,2010.0,Shooter,7.03,1.98,0.08,0.78,9.88
17,PS3,2013.0,Action,7.01,9.27,0.97,4.14,21.4
39,PS2,2001.0,Action,6.99,4.51,0.3,1.3,13.1
29,PS2,2001.0,Racing,6.85,5.09,1.87,1.16,14.98
80,XB,2004.0,Shooter,6.82,1.53,0.05,0.08,8.49
52,X360,2008.0,Action,6.76,3.1,0.14,1.03,11.02
62,X360,2013.0,Shooter,6.72,2.63,0.04,0.82,10.21
66,X360,2012.0,Shooter,6.63,2.36,0.04,0.73,9.76
41,PS3,2010.0,Shooter,5.98,4.44,0.48,1.83,12.73
71,X360,2007.0,Shooter,5.91,2.38,0.13,0.9,9.32
34,PS4,2015.0,Shooter,5.77,5.81,0.35,2.31,14.24
73,X360,2013.0,Misc,5.58,2.83,0.02,0.77,9.2
38,PS3,2011.0,Shooter,5.54,5.82,0.49,1.62,13.46
76,X360,2011.0,Role-Playing,5.03,2.86,0.1,0.85,8.84
35,PS3,2012.0,Shooter,4.99,5.88,0.65,2.52,14.03
56,PS3,2009.0,Shooter,4.99,3.69,0.38,1.63,10.69
130,XB,2001.0,Shooter,4.98,1.3,0.08,0.07,6.43
99,X360,2008.0,Shooter,4.79,1.9,0.0,0.69,7.37
57,PS3,2008.0,Action,4.76,3.76,0.44,1.62,10.57
102,XOne,2015.0,Shooter,4.52,2.09,0.01,0.67,7.3
100,X360,2011.0,Shooter,4.46,2.13,0.06,0.69,7.34
134,X360,2009.0,Shooter,4.34,1.35,0.06,0.61,6.36
180,PS2,,Sports,4.26,0.26,0.01,0.71,5.23
239,PS2,2004.0,Sports,4.18,0.26,0.01,0.08,4.53
119,X360,2008.0,Shooter,4.15,1.92,0.06,0.64,6.76
68,PS3,2013.0,Shooter,4.09,3.73,0.38,1.38,9.59
141,X360,2011.0,Shooter,4.05,1.62,0.07,0.49,6.24
53,PS,1997.0,Racing,4.02,3.87,2.54,0.52,10.95
212,PS2,2005.0,Sports,3.98,0.26,0.01,0.66,4.91
140,X360,2010.0,Sports,3.92,1.78,0.03,0.51,6.24
70,PS,1999.0,Racing,3.88,3.42,1.69,0.5,9.49
196,PS2,2006.0,Misc,3.81,0.63,0.0,0.68,5.12
45,PS4,2014.0,Action,3.8,5.81,0.36,2.02,11.98
279,PS,1997.0,Action,3.79,0.27,0.0,0.11,4.16
96,PS,1997.0,Platform,3.78,2.17,1.31,0.31,7.58
135,X360,2010.0,Action,3.7,1.97,0.09,0.57,6.34
107,PS,1998.0,Platform,3.68,1.75,1.42,0.28,7.13
